locus_tag,WT.INPUT,WT.RHIZO,WT.GIFU,WT.NFR5,WT.COL0,NS.INPUT,NS.RHIZO,NS.GIFU,NS.NFR5,NS.COL0
R7A2020_07460,0.038,0.092,0.044,0.035,0.048,0.038,0.073,0.035,0.044,0.025
R7A2020_07465,0.082,0.135,0.072,0.063,0.07,0.068,0.114,0.056,0.063,0.058
R7A2020_07470,0.093,0.138,0.073,0.07,0.066,0.083,0.148,0.087,0.072,0.065
R7A2020_07475,0.083,0.141,0.088,0.061,0.068,0.104,0.156,0.076,0.086,0.071
R7A2020_07480,0.085,0.155,0.083,0.079,0.076,0.092,0.13,0.06,0.076,0.069
R7A2020_07485,0.05,0.06,0.031,0.028,0.021,0.033,0.073,0.048,0.021,0.026
R7A2020_07490,0,0.004,0.004,0,0,0,0,0,0,0
R7A2020_07495,0.073,0.115,0.058,0.046,0.052,0.077,0.11,0.054,0.065,0.042
R7A2020_07500,0.078,0.145,0.072,0.064,0.073,0.096,0.171,0.083,0.085,0.074
R7A2020_07505,0.073,0.118,0.057,0.059,0.05,0.073,0.108,0.052,0.056,0.056
R7A2020_07510,0.044,0.083,0.044,0.026,0.036,0.039,0.117,0.036,0.057,0.047
R7A2020_07515,0.067,0.101,0.05,0.04,0.055,0.055,0.102,0.052,0.046,0.037
R7A2020_07520,0.077,0.135,0.079,0.068,0.06,0.074,0.146,0.077,0.077,0.054
R7A2020_07525,0.079,0.129,0.067,0.061,0.051,0.076,0.129,0.054,0.06,0.057
R7A2020_07530,0.054,0.104,0.058,0.05,0.044,0.066,0.108,0.041,0.06,0.048
R7A2020_07535,0.04,0.07,0.037,0.037,0.022,0.04,0.062,0.033,0.018,0.018
R7A2020_07540,0.01,0.002,0,0,0.002,0.01,0,0,0,0
R7A2020_07545,0.007,0,0,0,0,0.009,0,0,0,0
R7A2020_07550,0.082,0.125,0.064,0.054,0.06,0.09,0.09,0.032,0.028,0.06
R7A2020_07555,0.053,0.087,0.048,0.045,0.033,0.064,0.111,0.05,0.051,0.051
R7A2020_07560,0.096,0.158,0.078,0.092,0.077,0.097,0.169,0.09,0.087,0.078
R7A2020_07565,0.01,0.008,0.003,0.006,0.003,0.013,0.02,0.006,0.012,0.008
R7A2020_07570,0.089,0.137,0.063,0.053,0.049,0.066,0.125,0.059,0.047,0.059
R7A2020_07575,0.062,0.12,0.071,0.046,0.058,0.083,0.124,0.071,0.057,0.046
R7A2020_07580,0.109,0.142,0.082,0.075,0.067,0.112,0.185,0.099,0.109,0.079
R7A2020_07585,0.001,0.001,0.001,0,0,0.001,0.003,0,0,0.003
R7A2020_07590,0.073,0.112,0.061,0.051,0.038,0.074,0.13,0.063,0.066,0.04
R7A2020_07595,0.057,0.095,0.055,0.035,0.027,0.057,0.1,0.04,0.042,0.037
R7A2020_07600,0.096,0.143,0.076,0.072,0.067,0.087,0.124,0.061,0.065,0.056
R7A2020_07605,0.045,0.063,0.028,0.028,0.019,0.042,0.076,0.028,0.036,0.028
R7A2020_07610,0.022,0.014,0.005,0.008,0.004,0.031,0.019,0.008,0.009,0.002
R7A2020_07615,0.009,0.007,0.002,0.002,0.005,0.012,0.004,0.002,0,0.002
R7A2020_07620,0.075,0.153,0.071,0.08,0.087,0.095,0.155,0.075,0.073,0.084
R7A2020_07625,0.067,0.106,0.048,0.037,0.035,0.065,0.113,0.054,0.063,0.041
R7A2020_07630,0.047,0.085,0.054,0.025,0.028,0.044,0.132,0.063,0.063,0.057
R7A2020_07635,0.094,0.126,0.064,0.059,0.058,0.073,0.143,0.063,0.077,0.051
R7A2020_07640,0.094,0.158,0.094,0.082,0.072,0.09,0.15,0.082,0.073,0.084
R7A2020_07645,0.05,0.136,0.088,0.066,0.047,0.079,0.095,0.054,0.047,0.041
R7A2020_07650,0.045,0.042,0.021,0.014,0.013,0.046,0.051,0.025,0.024,0.015
R7A2020_07655,0.085,0.13,0.062,0.057,0.075,0.086,0.142,0.062,0.084,0.069
R7A2020_07660,0.058,0.132,0.062,0.074,0.062,0.081,0.128,0.089,0.043,0.054
R7A2020_07665,0.017,0,0,0,0,0.035,0.002,0,0,0.002
R7A2020_07670,0.017,0.046,0.017,0.034,0.006,0.029,0.04,0.023,0.011,0.011
R7A2020_07675,0,0,0,0,0,0,0,0,0,0
R7A2020_07680,0.071,0.086,0.043,0.028,0.043,0.059,0.078,0.043,0.038,0.022
R7A2020_07685,0.06,0.11,0.055,0.048,0.05,0.071,0.101,0.047,0.054,0.043
R7A2020_07690,0.063,0.098,0.037,0.05,0.057,0.057,0.101,0.046,0.05,0.037
R7A2020_07695,0.048,0.089,0.046,0.048,0.035,0.053,0.116,0.069,0.054,0.039
R7A2020_07700,0.068,0.119,0.06,0.055,0.047,0.071,0.112,0.063,0.059,0.042
R7A2020_07705,0.071,0.104,0.052,0.047,0.056,0.073,0.124,0.059,0.052,0.061
R7A2020_07710,0.087,0.088,0.04,0.033,0.05,0.109,0.113,0.037,0.045,0.065
R7A2020_07715,0.094,0.11,0.051,0.036,0.053,0.103,0.121,0.048,0.045,0.06
R7A2020_07720,0.052,0.056,0.021,0.026,0.024,0.071,0.077,0.03,0.034,0.037
R7A2020_07725,0.07,0.089,0.045,0.047,0.055,0.051,0.132,0.055,0.053,0.06
R7A2020_07730,0.083,0.106,0.051,0.046,0.042,0.094,0.134,0.066,0.061,0.07
R7A2020_07735,0.078,0.132,0.078,0.066,0.061,0.089,0.145,0.076,0.08,0.061
R7A2020_07740,0.055,0.063,0.025,0.025,0.025,0.073,0.08,0.027,0.033,0.033
R7A2020_07745,0.018,0.013,0.009,0.003,0.005,0.034,0.023,0.009,0.006,0.014
R7A2020_07750,0.016,0.011,0.005,0.003,0.005,0.024,0.014,0.003,0.005,0.006
R7A2020_07755,0.066,0.12,0.075,0.062,0.048,0.09,0.154,0.06,0.088,0.066
R7A2020_07760,0,0.002,0,0,0.002,0.002,0,0,0,0
R7A2020_07765,0.079,0.189,0.091,0.091,0.067,0.085,0.14,0.079,0.061,0.049
R7A2020_07770,0.083,0.134,0.068,0.066,0.064,0.085,0.148,0.068,0.077,0.065
R7A2020_07775,0.092,0.149,0.08,0.062,0.065,0.091,0.159,0.077,0.087,0.055
R7A2020_07780,0.068,0.112,0.061,0.057,0.061,0.094,0.146,0.072,0.076,0.066
R7A2020_07785,0.103,0.133,0.083,0.063,0.071,0.103,0.164,0.078,0.086,0.075
R7A2020_07790,0.086,0.141,0.064,0.062,0.07,0.108,0.178,0.099,0.077,0.081
R7A2020_07795,0.078,0.109,0.05,0.055,0.048,0.092,0.116,0.055,0.067,0.05
R7A2020_07800,0.032,0.054,0.018,0.025,0.014,0.032,0.034,0.009,0.014,0.02
R7A2020_07805,0.054,0.068,0.03,0.03,0.028,0.056,0.082,0.036,0.04,0.024
R7A2020_07810,0.014,0.014,0.014,0.014,0,0.014,0.014,0.014,0,0.014
R7A2020_07815,0.079,0.127,0.053,0.072,0.063,0.07,0.129,0.067,0.07,0.043
R7A2020_07820,0.081,0.136,0.075,0.06,0.055,0.075,0.122,0.054,0.067,0.05
R7A2020_07825,0.092,0.163,0.082,0.1,0.082,0.094,0.19,0.108,0.108,0.081
R7A2020_07830,0.086,0.14,0.074,0.073,0.072,0.082,0.151,0.086,0.078,0.062
R7A2020_07835,0,0,0,0,0,0,0,0,0,0
R7A2020_07840,0.103,0.16,0.093,0.098,0.073,0.104,0.171,0.093,0.102,0.072
R7A2020_07845,0.073,0.104,0.067,0.031,0.061,0.084,0.081,0.031,0.031,0.039
R7A2020_07850,0.098,0.149,0.084,0.068,0.069,0.093,0.152,0.085,0.074,0.082
R7A2020_07855,0.084,0.147,0.076,0.064,0.072,0.108,0.161,0.081,0.083,0.063
R7A2020_07860,0.079,0.116,0.064,0.045,0.06,0.092,0.127,0.063,0.063,0.062
R7A2020_07865,0.034,0.069,0.037,0.025,0.023,0.081,0.147,0.083,0.076,0.055
R7A2020_07870,0.033,0.089,0.031,0.042,0.036,0.036,0.094,0.044,0.019,0.05
R7A2020_07875,0.048,0.088,0.037,0.04,0.033,0.077,0.118,0.051,0.055,0.048
R7A2020_07880,0.065,0.124,0.072,0.046,0.039,0.078,0.092,0.046,0.046,0.033
R7A2020_07885,0,0,0,0,0,0,0.001,0,0,0.001
R7A2020_07890,0.076,0.135,0.081,0.066,0.069,0.087,0.148,0.076,0.081,0.07
R7A2020_07895,0.043,0.052,0.022,0.013,0.022,0.039,0.1,0.061,0.043,0.03
R7A2020_07900,0.066,0.127,0.061,0.051,0.059,0.083,0.122,0.058,0.061,0.058
R7A2020_07905,0.091,0.116,0.047,0.063,0.044,0.088,0.132,0.058,0.069,0.063
R7A2020_07910,0.08,0.077,0.036,0.027,0.041,0.072,0.126,0.07,0.053,0.058
R7A2020_07915,0.105,0.147,0.085,0.074,0.057,0.083,0.16,0.09,0.072,0.074
R7A2020_07920,0.102,0.138,0.084,0.051,0.077,0.069,0.12,0.063,0.057,0.051
R7A2020_07925,0.079,0.123,0.061,0.06,0.066,0.067,0.121,0.055,0.075,0.049
R7A2020_07930,0.061,0.094,0.047,0.04,0.038,0.071,0.122,0.052,0.054,0.054
R7A2020_07935,0,0,0,0,0,0,0,0,0,0
R7A2020_07940,0.07,0.13,0.06,0.056,0.049,0.064,0.126,0.068,0.056,0.045
R7A2020_07945,0.097,0.148,0.082,0.066,0.08,0.099,0.162,0.092,0.076,0.057
R7A2020_07950,0.019,0.065,0.023,0.019,0.037,0.019,0.065,0.009,0.023,0.033
R7A2020_07955,0.003,0.001,0,0,0.001,0.002,0.001,0.001,0,0.001
R7A2020_07960,0.009,0.011,0.006,0.005,0.006,0.008,0.012,0.006,0.006,0.005
R7A2020_07965,0,0,0,0,0,0,0,0,0,0
R7A2020_07970,0.001,0.005,0,0.004,0.001,0,0.004,0,0.004,0
R7A2020_07975,0.043,0.049,0.026,0.027,0.017,0.048,0.067,0.038,0.027,0.031
R7A2020_07980,0.094,0.145,0.08,0.078,0.069,0.095,0.169,0.092,0.091,0.076
R7A2020_07985,0.091,0.162,0.071,0.087,0.055,0.1,0.204,0.11,0.11,0.087
R7A2020_07990,0.063,0.092,0.06,0.043,0.039,0.078,0.122,0.066,0.057,0.052
R7A2020_07995,0.087,0.135,0.067,0.071,0.065,0.065,0.126,0.071,0.067,0.041
R7A2020_08000,0.081,0.132,0.071,0.068,0.059,0.078,0.141,0.073,0.075,0.058
R7A2020_08005,0.001,0,0,0,0,0,0,0,0,0
R7A2020_08010,0.034,0.069,0.027,0.031,0.017,0.048,0.062,0.024,0.031,0.038
R7A2020_08015,0.011,0.017,0.003,0.009,0.005,0.02,0.028,0.013,0.009,0.013
R7A2020_08020,0,0.03,0.015,0,0.015,0,0.06,0.015,0,0.045
R7A2020_08025,0,0,0,0,0,0.015,0.015,0.015,0,0
R7A2020_08030,0.009,0.016,0.005,0.007,0.005,0.009,0.016,0.006,0.005,0.007
R7A2020_08035,0.02,0.02,0.01,0.01,0,0,0,0,0,0
R7A2020_08040,0,0.045,0.03,0.015,0.015,0.015,0.06,0.03,0.015,0.045
R7A2020_08045,0.075,0.123,0.044,0.057,0.053,0.066,0.158,0.061,0.083,0.061
R7A2020_08050,0.063,0.131,0.086,0.05,0.059,0.059,0.099,0.059,0.059,0.059
R7A2020_08055,0.014,0.017,0.002,0.01,0.005,0.017,0.03,0.014,0.009,0.013
R7A2020_08060,0,0.03,0.015,0,0.015,0,0.06,0.015,0.015,0.03
R7A2020_08065,0,0.015,0,0.015,0,0.015,0.015,0.015,0,0
R7A2020_08070,0.009,0.016,0.004,0.008,0.005,0.008,0.016,0.005,0.005,0.007
R7A2020_08075,0.02,0.02,0.01,0.01,0,0,0,0,0,0
R7A2020_08080,0.015,0.045,0.015,0.03,0.015,0.03,0.06,0.045,0.015,0.03
R7A2020_08085,0.08,0.124,0.066,0.06,0.066,0.079,0.138,0.08,0.064,0.054
R7A2020_08090,0.092,0.127,0.055,0.042,0.073,0.077,0.119,0.066,0.057,0.072
R7A2020_08095,0.083,0.14,0.079,0.067,0.077,0.104,0.155,0.088,0.067,0.067
R7A2020_08100,0.075,0.102,0.048,0.054,0.051,0.082,0.142,0.077,0.07,0.058
R7A2020_08105,0.074,0.134,0.065,0.041,0.066,0.074,0.114,0.065,0.066,0.047
R7A2020_08110,0.078,0.122,0.062,0.057,0.055,0.093,0.131,0.069,0.053,0.049
R7A2020_08115,0.078,0.109,0.049,0.052,0.049,0.061,0.097,0.04,0.044,0.045
R7A2020_08120,0.071,0.102,0.052,0.035,0.043,0.065,0.116,0.056,0.047,0.046
R7A2020_08125,0.096,0.144,0.076,0.079,0.064,0.079,0.145,0.077,0.078,0.056
R7A2020_08130,0.068,0.114,0.061,0.055,0.044,0.072,0.122,0.054,0.062,0.045
R7A2020_08135,0.053,0.095,0.034,0.048,0.033,0.059,0.099,0.037,0.053,0.042
R7A2020_08140,0.081,0.132,0.065,0.058,0.074,0.09,0.141,0.074,0.069,0.046
R7A2020_08145,0.061,0.106,0.054,0.054,0.046,0.061,0.087,0.04,0.045,0.03
R7A2020_08150,0.056,0.103,0.053,0.043,0.049,0.038,0.08,0.045,0.039,0.022
R7A2020_08155,0.076,0.136,0.068,0.058,0.066,0.095,0.139,0.065,0.082,0.045
R7A2020_08160,0.086,0.143,0.071,0.056,0.074,0.099,0.143,0.093,0.071,0.05
R7A2020_08165,0.08,0.129,0.072,0.058,0.066,0.078,0.122,0.055,0.072,0.055
R7A2020_08170,0.059,0.11,0.052,0.049,0.055,0.063,0.113,0.053,0.062,0.047
R7A2020_08175,0.038,0.055,0.022,0.021,0.024,0.04,0.052,0.029,0.019,0.028
R7A2020_08180,0.045,0.081,0.045,0.039,0.028,0.062,0.07,0.025,0.034,0.036
R7A2020_08185,0.081,0.122,0.057,0.057,0.056,0.069,0.123,0.062,0.061,0.046
R7A2020_08190,0.089,0.152,0.085,0.074,0.08,0.085,0.134,0.076,0.072,0.051
R7A2020_08195,0.118,0.169,0.1,0.075,0.1,0.107,0.16,0.084,0.089,0.068
R7A2020_08200,0.093,0.131,0.072,0.059,0.056,0.076,0.134,0.073,0.059,0.058
R7A2020_08205,0.039,0.069,0.041,0.02,0.028,0.048,0.086,0.041,0.037,0.039
R7A2020_08210,0.033,0.069,0.03,0.024,0.029,0.043,0.081,0.029,0.023,0.04
R7A2020_08215,0.043,0.081,0.039,0.04,0.021,0.036,0.065,0.031,0.036,0.014
R7A2020_08220,0.063,0.117,0.069,0.057,0.059,0.061,0.09,0.053,0.042,0.042
R7A2020_08225,0.099,0.131,0.056,0.048,0.069,0.059,0.128,0.08,0.051,0.04
R7A2020_08230,0.078,0.133,0.07,0.076,0.051,0.082,0.139,0.067,0.071,0.052
R7A2020_08235,0.09,0.133,0.052,0.06,0.068,0.098,0.133,0.073,0.054,0.046
R7A2020_08240,0.056,0.099,0.047,0.05,0.041,0.065,0.105,0.045,0.046,0.041
R7A2020_08245,0.068,0.1,0.052,0.058,0.042,0.073,0.119,0.063,0.067,0.045
R7A2020_08250,0.066,0.099,0.046,0.042,0.044,0.057,0.113,0.05,0.053,0.045
R7A2020_08255,0.094,0.135,0.067,0.064,0.051,0.071,0.131,0.081,0.061,0.057
R7A2020_08260,0.07,0.114,0.067,0.052,0.044,0.063,0.107,0.053,0.053,0.037
R7A2020_08265,0.081,0.133,0.06,0.051,0.078,0.078,0.142,0.069,0.069,0.054
R7A2020_08270,0.061,0.102,0.048,0.048,0.044,0.079,0.121,0.06,0.065,0.044
R7A2020_08275,0.07,0.093,0.06,0.042,0.034,0.067,0.108,0.054,0.059,0.039
R7A2020_08280,0.083,0.135,0.068,0.075,0.05,0.076,0.113,0.048,0.061,0.047
R7A2020_08285,0.065,0.094,0.038,0.048,0.045,0.062,0.104,0.037,0.061,0.041
R7A2020_08290,0.07,0.115,0.066,0.046,0.051,0.06,0.103,0.048,0.058,0.037
R7A2020_08295,0.061,0.118,0.053,0.047,0.059,0.062,0.118,0.06,0.043,0.05
R7A2020_08300,0.046,0.061,0.025,0.036,0.019,0.029,0.051,0.022,0.015,0.022
R7A2020_08305,0.049,0.067,0.031,0.024,0.034,0.04,0.093,0.04,0.041,0.038
R7A2020_08310,0.048,0.087,0.046,0.035,0.048,0.048,0.08,0.031,0.045,0.03
R7A2020_08315,0.043,0.07,0.034,0.03,0.027,0.058,0.083,0.035,0.049,0.028
R7A2020_08320,0.084,0.125,0.066,0.054,0.054,0.088,0.122,0.069,0.044,0.058
R7A2020_08325,0.069,0.114,0.06,0.053,0.043,0.076,0.106,0.05,0.058,0.045
R7A2020_08330,0.066,0.093,0.049,0.047,0.04,0.076,0.097,0.042,0.046,0.046
R7A2020_08335,0.061,0.116,0.06,0.051,0.045,0.05,0.1,0.041,0.051,0.041
R7A2020_08340,0.059,0.109,0.062,0.047,0.05,0.059,0.113,0.06,0.062,0.036
R7A2020_08345,0.095,0.136,0.068,0.069,0.068,0.059,0.119,0.055,0.063,0.047
R7A2020_08350,0.056,0.09,0.045,0.036,0.031,0.034,0.076,0.036,0.039,0.008
R7A2020_08355,0.058,0.097,0.041,0.042,0.046,0.06,0.115,0.054,0.051,0.06
R7A2020_08360,0.058,0.107,0.054,0.061,0.042,0.052,0.102,0.042,0.065,0.027
R7A2020_08365,0.061,0.089,0.043,0.051,0.046,0.061,0.092,0.041,0.033,0.038
R7A2020_08370,0.044,0.066,0.042,0.031,0.033,0.053,0.097,0.045,0.047,0.038
R7A2020_08375,0.058,0.094,0.054,0.038,0.032,0.047,0.087,0.042,0.044,0.04
R7A2020_08380,0.059,0.102,0.046,0.042,0.048,0.059,0.101,0.051,0.05,0.042
R7A2020_08385,0.045,0.088,0.037,0.042,0.036,0.056,0.092,0.045,0.036,0.04
R7A2020_08390,0.081,0.123,0.066,0.058,0.064,0.092,0.145,0.077,0.072,0.071
R7A2020_08395,0.042,0.059,0.033,0.028,0.025,0.031,0.072,0.036,0.021,0.027
R7A2020_08400,0.056,0.067,0.031,0.02,0.028,0.043,0.075,0.034,0.037,0.028
R7A2020_08405,0.059,0.077,0.035,0.035,0.025,0.052,0.083,0.035,0.034,0.035
R7A2020_08410,0.079,0.105,0.039,0.039,0.059,0.066,0.118,0.036,0.066,0.072
R7A2020_08415,0.059,0.096,0.057,0.035,0.035,0.044,0.087,0.037,0.048,0.022
R7A2020_08420,0.025,0.047,0.018,0.016,0.025,0.032,0.052,0.014,0.032,0.02
R7A2020_08425,0.07,0.113,0.056,0.054,0.044,0.06,0.105,0.051,0.05,0.038
R7A2020_08430,0.075,0.114,0.063,0.056,0.062,0.072,0.114,0.061,0.067,0.042
R7A2020_08435,0.065,0.125,0.06,0.051,0.063,0.087,0.123,0.058,0.06,0.059
R7A2020_08440,0.08,0.121,0.055,0.056,0.057,0.073,0.112,0.057,0.052,0.053
R7A2020_08445,0.05,0.071,0.037,0.021,0.035,0.053,0.072,0.033,0.02,0.034
R7A2020_08450,0.054,0.078,0.041,0.029,0.03,0.028,0.077,0.036,0.039,0.024
R7A2020_08455,0.064,0.094,0.041,0.049,0.041,0.053,0.085,0.036,0.045,0.033
R7A2020_08460,0.083,0.116,0.058,0.057,0.072,0.074,0.126,0.068,0.06,0.052
R7A2020_08465,0.058,0.07,0.032,0.032,0.03,0.049,0.084,0.034,0.038,0.035
R7A2020_08470,0.081,0.131,0.067,0.073,0.062,0.083,0.131,0.058,0.07,0.074
R7A2020_08475,0.108,0.152,0.081,0.065,0.071,0.097,0.182,0.099,0.093,0.072
R7A2020_08480,0.06,0.118,0.063,0.055,0.06,0.08,0.123,0.057,0.062,0.048
R7A2020_08485,0.053,0.084,0.044,0.039,0.033,0.051,0.082,0.042,0.033,0.036
R7A2020_08490,0.052,0.117,0.054,0.047,0.052,0.063,0.095,0.047,0.048,0.038
R7A2020_08495,0.068,0.11,0.051,0.059,0.056,0.063,0.103,0.051,0.051,0.041
R7A2020_08500,0.046,0.051,0.027,0.015,0.022,0.03,0.07,0.028,0.028,0.023
R7A2020_08505,0.009,0.049,0.025,0.022,0.031,0.031,0.071,0.022,0.028,0.037
R7A2020_08510,0.06,0.096,0.055,0.041,0.038,0.054,0.1,0.053,0.046,0.031
R7A2020_08515,0.055,0.067,0.026,0.032,0.017,0.041,0.078,0.02,0.029,0.038
R7A2020_08520,0.029,0.027,0.013,0.007,0.011,0.029,0.03,0.013,0.012,0.012
R7A2020_08525,0.076,0.134,0.073,0.06,0.067,0.076,0.12,0.069,0.071,0.053
R7A2020_08530,0,0,0,0,0,0,0,0,0,0
R7A2020_08535,0.057,0.08,0.04,0.029,0.04,0.04,0.069,0.034,0.04,0.023
R7A2020_08540,0.046,0.073,0.028,0.032,0.023,0.032,0.073,0.046,0.018,0.032
R7A2020_08545,0.063,0.087,0.04,0.024,0.032,0.048,0.063,0.016,0.016,0.048
R7A2020_08550,0.064,0.131,0.076,0.032,0.068,0.064,0.084,0.048,0.044,0.032
R7A2020_08555,0.08,0.133,0.065,0.059,0.062,0.093,0.133,0.068,0.049,0.059
R7A2020_08560,0.052,0.103,0.045,0.052,0.05,0.053,0.093,0.042,0.038,0.03
R7A2020_08565,0.047,0.086,0.039,0.043,0.034,0.053,0.086,0.036,0.04,0.036
R7A2020_08570,0.066,0.111,0.058,0.05,0.05,0.065,0.116,0.055,0.062,0.045
R7A2020_08575,0.048,0.099,0.047,0.046,0.04,0.063,0.105,0.038,0.052,0.042
R7A2020_08580,0.071,0.104,0.066,0.027,0.027,0.066,0.066,0.033,0.022,0.027
R7A2020_08585,0.058,0.094,0.047,0.043,0.038,0.055,0.091,0.039,0.041,0.04
R7A2020_08590,0.054,0.079,0.035,0.047,0.031,0.04,0.088,0.043,0.036,0.036
R7A2020_08595,0.075,0.125,0.065,0.059,0.062,0.078,0.133,0.066,0.07,0.056
R7A2020_08600,0.077,0.116,0.06,0.056,0.054,0.066,0.122,0.059,0.054,0.049
R7A2020_08605,0.053,0.103,0.046,0.045,0.04,0.053,0.097,0.046,0.051,0.033
R7A2020_08610,0.054,0.078,0.045,0.034,0.027,0.04,0.065,0.031,0.022,0.027
R7A2020_08615,0.057,0.104,0.051,0.038,0.054,0.066,0.101,0.053,0.043,0.04
R7A2020_08620,0.03,0.071,0.034,0.03,0.032,0.041,0.068,0.032,0.022,0.024
R7A2020_08625,0.049,0.083,0.039,0.039,0.037,0.034,0.086,0.044,0.039,0.037
R7A2020_08630,0.027,0.037,0.015,0.012,0.017,0.025,0.041,0.016,0.021,0.011
R7A2020_08635,0.029,0.021,0.005,0.005,0.013,0.033,0.049,0.015,0.014,0.027
R7A2020_08640,0.039,0.061,0.02,0.017,0.03,0.041,0.05,0.021,0.024,0.016
R7A2020_08645,0.04,0.054,0.019,0.019,0.024,0.037,0.052,0.026,0.02,0.021
R7A2020_08650,0.03,0.061,0.027,0.028,0.025,0.041,0.081,0.037,0.043,0.031
R7A2020_08655,0.066,0.092,0.047,0.042,0.036,0.048,0.085,0.048,0.041,0.04
R7A2020_08660,0.055,0.112,0.054,0.055,0.043,0.06,0.109,0.064,0.044,0.05
R7A2020_08665,0.061,0.112,0.051,0.045,0.056,0.069,0.125,0.06,0.066,0.056
R7A2020_08670,0.039,0.09,0.041,0.047,0.037,0.056,0.087,0.041,0.039,0.037
R7A2020_08675,0.059,0.036,0.01,0.016,0.016,0.051,0.052,0.026,0.019,0.018
R7A2020_08680,0.026,0.021,0.01,0.003,0.01,0.036,0.021,0.008,0.008,0.005
R7A2020_08685,0.053,0.1,0.045,0.042,0.048,0.058,0.116,0.058,0.047,0.048
R7A2020_08690,0.024,0.08,0.033,0.03,0.035,0.038,0.079,0.035,0.045,0.026
R7A2020_08695,0.046,0.085,0.042,0.039,0.033,0.068,0.092,0.038,0.047,0.043
R7A2020_08700,0.051,0.097,0.056,0.046,0.044,0.049,0.107,0.057,0.047,0.051
R7A2020_08705,0.054,0.083,0.037,0.038,0.044,0.051,0.101,0.05,0.048,0.041
R7A2020_08710,0.029,0.049,0.02,0.02,0.02,0.049,0.029,0.01,0.01,0.01
R7A2020_08715,0.016,0.019,0.005,0.007,0.007,0.016,0.018,0.005,0.011,0.005
R7A2020_08720,0.021,0.038,0.017,0.015,0.01,0.03,0.054,0.021,0.025,0.018
R7A2020_08725,0.012,0.021,0.012,0.007,0.009,0.021,0.028,0.009,0.009,0.009
R7A2020_08730,0.024,0.053,0.02,0.022,0.022,0.025,0.054,0.022,0.025,0.021
R7A2020_08735,0.075,0.117,0.065,0.05,0.053,0.067,0.112,0.055,0.055,0.041
R7A2020_08740,0.006,0.037,0.006,0.019,0.031,0.019,0.025,0.006,0.006,0.012
R7A2020_08745,0.023,0.041,0.018,0.013,0.016,0.029,0.037,0.011,0.016,0.018
R7A2020_08750,0.07,0.105,0.075,0.044,0.047,0.07,0.122,0.064,0.061,0.044
R7A2020_08755,0.078,0.13,0.078,0.059,0.059,0.089,0.126,0.073,0.06,0.059
R7A2020_08760,0.074,0.111,0.061,0.047,0.052,0.042,0.105,0.051,0.051,0.039
R7A2020_08765,0.071,0.116,0.073,0.058,0.048,0.086,0.134,0.059,0.076,0.059
R7A2020_08770,0.047,0.097,0.047,0.031,0.031,0.047,0.089,0.044,0.034,0.029
R7A2020_08775,0.005,0.011,0.005,0,0.005,0.016,0.022,0.005,0.016,0.005
R7A2020_08780,0.074,0.1,0.049,0.046,0.043,0.056,0.091,0.039,0.045,0.036
R7A2020_08785,0.072,0.092,0.052,0.036,0.04,0.1,0.116,0.06,0.052,0.056
R7A2020_08790,0.065,0.093,0.053,0.039,0.043,0.063,0.094,0.037,0.047,0.042
R7A2020_08795,0.094,0.127,0.071,0.063,0.054,0.069,0.12,0.058,0.054,0.051
R7A2020_08800,0.055,0.097,0.046,0.049,0.038,0.069,0.088,0.042,0.035,0.033
R7A2020_08805,0.062,0.115,0.061,0.052,0.055,0.08,0.129,0.061,0.065,0.053
R7A2020_08810,0.093,0.131,0.081,0.063,0.066,0.097,0.144,0.087,0.074,0.061
R7A2020_08815,0.076,0.105,0.06,0.047,0.041,0.079,0.115,0.053,0.057,0.053
R7A2020_08820,0.018,0.029,0.012,0.012,0.012,0.018,0.07,0.029,0.029,0.035
R7A2020_08825,0.006,0.011,0.004,0.002,0.009,0.004,0.011,0.006,0.006,0.007
R7A2020_08830,0.074,0.13,0.065,0.058,0.05,0.076,0.132,0.071,0.063,0.056
R7A2020_08835,0.047,0.064,0.024,0.037,0.034,0.037,0.074,0.034,0.061,0.041
R7A2020_08840,0.076,0.101,0.062,0.046,0.042,0.078,0.127,0.07,0.062,0.05
R7A2020_08845,0.104,0.164,0.104,0.079,0.074,0.112,0.197,0.12,0.11,0.078
R7A2020_08850,0.109,0.158,0.09,0.071,0.087,0.131,0.179,0.091,0.097,0.099
R7A2020_08855,0.002,0,0,0,0,0.002,0.005,0,0.002,0.005
R7A2020_08860,0.059,0.103,0.055,0.044,0.048,0.051,0.085,0.03,0.041,0.034
R7A2020_08865,0.052,0.082,0.051,0.041,0.029,0.061,0.099,0.05,0.048,0.036
R7A2020_08870,0.068,0.129,0.068,0.061,0.06,0.073,0.118,0.055,0.06,0.046
R7A2020_08875,0.089,0.133,0.083,0.059,0.068,0.109,0.112,0.056,0.059,0.068
R7A2020_08880,0.077,0.098,0.05,0.04,0.04,0.058,0.108,0.045,0.045,0.042
R7A2020_08885,0.091,0.134,0.072,0.067,0.054,0.097,0.162,0.086,0.085,0.068
R7A2020_08890,0.057,0.083,0.048,0.038,0.038,0.063,0.121,0.054,0.076,0.054
R7A2020_08895,0,0,0,0,0,0,0,0,0,0
R7A2020_08900,0.083,0.131,0.061,0.065,0.058,0.097,0.153,0.074,0.081,0.066
R7A2020_08905,0.003,0.003,0.002,0.002,0,0.002,0.007,0.003,0.002,0.002
R7A2020_08910,0,0,0,0,0,0,0,0,0,0
