locus_tag,WT.INPUT,WT.RHIZO,WT.GIFU,WT.NFR5,WT.COL0,NS.INPUT,NS.RHIZO,NS.GIFU,NS.NFR5,NS.COL0
R7A2020_12770,0.045,0.086,0.047,0.03,0.042,0.053,0.108,0.055,0.061,0.047
R7A2020_12775,0.063,0.097,0.048,0.029,0.044,0.04,0.109,0.044,0.05,0.044
R7A2020_12780,0.078,0.151,0.068,0.052,0.065,0.073,0.128,0.078,0.06,0.047
R7A2020_12785,0.017,0.055,0.025,0.017,0.038,0.051,0.072,0.021,0.021,0.038
R7A2020_12790,0.069,0.097,0.036,0.045,0.049,0.063,0.091,0.045,0.047,0.03
R7A2020_12795,0.05,0.088,0.056,0.044,0.032,0.058,0.102,0.047,0.056,0.032
R7A2020_12800,0.098,0.141,0.09,0.059,0.073,0.098,0.172,0.086,0.081,0.075
R7A2020_12805,0.05,0.119,0.058,0.064,0.052,0.061,0.112,0.05,0.057,0.049
R7A2020_12810,0.017,0.047,0.026,0.02,0.011,0.028,0.054,0.015,0.022,0.025
R7A2020_12815,0.053,0.065,0.024,0.024,0.031,0.058,0.084,0.034,0.037,0.03
R7A2020_12820,0.024,0.046,0.022,0.018,0.024,0.028,0.038,0.014,0.014,0.016
R7A2020_12825,0.008,0.014,0.006,0.006,0.006,0.011,0.037,0.023,0.008,0.014
R7A2020_12830,0.023,0.027,0.014,0.014,0.018,0.032,0.027,0.009,0.014,0.014
R7A2020_12835,0.087,0.128,0.066,0.076,0.067,0.081,0.134,0.078,0.07,0.056
R7A2020_12840,0.078,0.137,0.07,0.061,0.06,0.071,0.137,0.07,0.057,0.057
R7A2020_12845,0.065,0.149,0.082,0.058,0.077,0.058,0.122,0.065,0.062,0.036
R7A2020_12850,0.059,0.087,0.049,0.038,0.038,0.052,0.098,0.042,0.049,0.056
R7A2020_12855,0.08,0.131,0.064,0.059,0.063,0.068,0.131,0.067,0.061,0.052
R7A2020_12860,0.08,0.122,0.07,0.056,0.053,0.067,0.152,0.08,0.07,0.056
R7A2020_12865,0.07,0.13,0.07,0.06,0.063,0.06,0.151,0.07,0.074,0.056
R7A2020_12870,0.074,0.138,0.065,0.063,0.068,0.077,0.142,0.063,0.055,0.062
R7A2020_12875,0.042,0.067,0.039,0.008,0.036,0.033,0.069,0.039,0.025,0.017
R7A2020_12880,0.029,0.062,0.037,0.044,0.018,0.044,0.07,0.037,0.04,0.018
R7A2020_12885,0.074,0.126,0.074,0.068,0.051,0.088,0.156,0.084,0.076,0.066
R7A2020_12890,0.075,0.128,0.066,0.059,0.057,0.063,0.113,0.054,0.047,0.046
R7A2020_12895,0.047,0.071,0.041,0.028,0.029,0.055,0.09,0.043,0.035,0.039
R7A2020_12900,0.045,0.084,0.042,0.032,0.039,0.041,0.06,0.027,0.03,0.027
R7A2020_12905,0.078,0.119,0.067,0.03,0.062,0.067,0.1,0.051,0.057,0.051
R7A2020_12910,0.063,0.12,0.066,0.071,0.046,0.071,0.103,0.051,0.037,0.034
R7A2020_12915,0.046,0.057,0.042,0.031,0.034,0.046,0.096,0.065,0.057,0.046
R7A2020_12920,0.046,0.08,0.034,0.031,0.039,0.052,0.102,0.049,0.051,0.034
R7A2020_12925,0.075,0.109,0.047,0.065,0.054,0.065,0.114,0.047,0.062,0.054
R7A2020_12930,0.072,0.099,0.062,0.044,0.045,0.078,0.11,0.057,0.058,0.037
R7A2020_12935,0.078,0.114,0.053,0.052,0.06,0.072,0.133,0.066,0.069,0.056
R7A2020_12940,0.104,0.139,0.082,0.065,0.074,0.092,0.133,0.069,0.072,0.06
R7A2020_12945,0.006,0.015,0.006,0.009,0.003,0.018,0.026,0.012,0.012,0.009
R7A2020_12950,0.049,0.086,0.043,0.019,0.049,0.049,0.111,0.043,0.043,0.049
R7A2020_12955,0.086,0.151,0.081,0.074,0.072,0.088,0.131,0.082,0.071,0.04
R7A2020_12960,0.069,0.119,0.063,0.057,0.059,0.07,0.119,0.054,0.06,0.047
R7A2020_12965,0.075,0.136,0.075,0.068,0.067,0.083,0.13,0.053,0.076,0.053
R7A2020_12970,0.06,0.118,0.058,0.044,0.056,0.053,0.113,0.044,0.053,0.053
R7A2020_12975,0.081,0.125,0.067,0.065,0.064,0.074,0.14,0.066,0.075,0.051
R7A2020_12980,0.066,0.107,0.047,0.041,0.054,0.066,0.124,0.045,0.066,0.049
R7A2020_12985,0.107,0.134,0.074,0.07,0.058,0.093,0.145,0.072,0.078,0.056
R7A2020_12990,0.073,0.137,0.079,0.067,0.073,0.077,0.149,0.071,0.071,0.059
R7A2020_12995,0.039,0.07,0.036,0.02,0.028,0.034,0.064,0.034,0.017,0.031
R7A2020_13000,0.016,0.039,0.012,0.016,0.019,0.035,0.058,0.016,0.031,0.027
R7A2020_13005,0,0,0,0,0,0,0,0,0,0
R7A2020_13010,0.045,0.092,0.043,0.036,0.042,0.055,0.1,0.043,0.045,0.043
R7A2020_13015,0.044,0.066,0.033,0.018,0.022,0.037,0.077,0.051,0.026,0.015
R7A2020_13020,0.071,0.083,0.033,0.05,0.017,0.054,0.1,0.058,0.025,0.042
R7A2020_13025,0.035,0.062,0.035,0.013,0.029,0.037,0.064,0.025,0.029,0.029
R7A2020_13030,0.084,0.073,0.034,0.046,0.027,0.065,0.123,0.038,0.084,0.046
R7A2020_13035,0.103,0.16,0.081,0.087,0.069,0.071,0.146,0.065,0.089,0.057
R7A2020_13040,0.035,0.062,0.027,0.016,0.035,0.016,0.101,0.039,0.039,0.054
R7A2020_13045,0.059,0.108,0.052,0.055,0.053,0.066,0.114,0.053,0.052,0.047
R7A2020_13050,0.032,0.055,0.028,0.022,0.019,0.033,0.063,0.029,0.033,0.023
R7A2020_13055,0.025,0.049,0.019,0.015,0.022,0.023,0.04,0.016,0.018,0.014
R7A2020_13060,0.051,0.096,0.054,0.04,0.029,0.056,0.107,0.047,0.031,0.04
R7A2020_13065,0.023,0.076,0.027,0.042,0.038,0.027,0.061,0.03,0.019,0.03
