locus_tag,INPUT,RHIZO,GIFU,NFR5,COL0,ES,TY,GR,state
R7A2020_29530,0.05,0.085,0.044,0.032,0.039,0.126,0.049,0.017,NE
R7A2020_29535,0.03,0.033,0.017,0.017,0.007,0.095,0.041,0.03,NE
R7A2020_29540,0.015,0.028,0.003,0.008,0.021,0.077,0.046,0.015,NE
R7A2020_29545,0.059,0.102,0.051,0.05,0.037,0.14,0.058,0.033,NE
R7A2020_29550,0.052,0.083,0.035,0.042,0.031,0.142,0.056,0.042,NE
R7A2020_29555,0.076,0.076,0.045,0.013,0.032,0.166,0.07,0.038,NE
R7A2020_29560,0.041,0.051,0.015,0.027,0.015,0.117,0.041,0.037,NE
R7A2020_29565,0.067,0.11,0.059,0.045,0.055,0.156,0.047,0.044,NE
R7A2020_29570,0.054,0.084,0.025,0.03,0.044,0.172,0.089,0.039,NE
R7A2020_29575,0.042,0.079,0.036,0.039,0.035,0.139,0.06,0.046,NE
R7A2020_29580,0.047,0.061,0.028,0.009,0.038,0.146,0.052,0.047,NE
R7A2020_29585,0.066,0.093,0.035,0.035,0.039,0.136,0.043,0.043,NE
R7A2020_29590,0.043,0.091,0.045,0.056,0.038,0.124,0.045,0.043,NE
R7A2020_29595,0.051,0.078,0.029,0.037,0.045,0.146,0.045,0.041,NE
R7A2020_29600,0.082,0.123,0.058,0.058,0.057,0.192,0.065,0.05,NE
R7A2020_29605,0.037,0.081,0.038,0.037,0.029,0.11,0.049,0.03,NE
R7A2020_29610,0.036,0.062,0.025,0.027,0.028,0.098,0.048,0.027,NE
R7A2020_29615,0.041,0.048,0.011,0.03,0.019,0.086,0.033,0.007,NE
R7A2020_29620,0.021,0.076,0.034,0.021,0.034,0.103,0.048,0.034,NE
R7A2020_29625,0.029,0.071,0.029,0.014,0.038,0.086,0.019,0.033,NE
R7A2020_29630,0.049,0.049,0.016,0.038,0.016,0.115,0.038,0.027,NE
R7A2020_29635,0.042,0.07,0.037,0.019,0.019,0.153,0.056,0.037,NE
R7A2020_29640,0.024,0.045,0.014,0.014,0.028,0.069,0.014,0.022,NE
R7A2020_29645,0.051,0.06,0.037,0.037,0.019,0.126,0.037,0.033,NE
R7A2020_29650,0.069,0.082,0.048,0.039,0.028,0.121,0.05,0.026,NE
R7A2020_29655,0.023,0.036,0.018,0.018,0.011,0.084,0.034,0.024,NE
R7A2020_29660,0.024,0.038,0.018,0.016,0.015,0.078,0.033,0.024,NE
R7A2020_29665,0.012,0.035,0.012,0.012,0.016,0.045,0.021,0.014,NE
R7A2020_29670,0.042,0.056,0.027,0.025,0.025,0.109,0.042,0.031,NE
R7A2020_29675,0.038,0.067,0.033,0.022,0.025,0.102,0.036,0.03,NE
R7A2020_29680,0.042,0.076,0.025,0.032,0.034,0.113,0.034,0.025,NE
R7A2020_29685,0.043,0.07,0.037,0.026,0.035,0.122,0.05,0.035,NE
R7A2020_29690,0.04,0.069,0.035,0.026,0.032,0.122,0.047,0.038,NE
R7A2020_29695,0.036,0.063,0.026,0.032,0.024,0.127,0.051,0.024,NE
R7A2020_29700,0.026,0.05,0.03,0.012,0.021,0.088,0.036,0.03,NE
R7A2020_29705,0.041,0.057,0.022,0.025,0.024,0.128,0.062,0.036,NE
R7A2020_29710,0.025,0.048,0.021,0.017,0.017,0.092,0.044,0.02,NE
R7A2020_29715,0.055,0.055,0.022,0.022,0.026,0.121,0.044,0.026,NE
R7A2020_29720,0.023,0.049,0.021,0.017,0.024,0.084,0.032,0.026,NE
R7A2020_29725,0.015,0.032,0.008,0.013,0.012,0.073,0.029,0.027,NE
R7A2020_29730,0.021,0.041,0.018,0.015,0.017,0.087,0.034,0.025,NE
R7A2020_29735,0.048,0.067,0.032,0.034,0.025,0.113,0.032,0.026,NE
R7A2020_29740,0.038,0.073,0.036,0.033,0.023,0.14,0.059,0.042,NE
R7A2020_29745,0.054,0.068,0.035,0.029,0.023,0.13,0.043,0.038,NE
R7A2020_29750,0.044,0.08,0.046,0.027,0.039,0.126,0.051,0.031,NE
R7A2020_29755,0.032,0.057,0.029,0.023,0.026,0.089,0.036,0.026,NE
R7A2020_29760,0.024,0.024,0.012,0.006,0.006,0.072,0.042,0.006,NE
R7A2020_29765,0.031,0.061,0.025,0.029,0.021,0.106,0.035,0.029,NE
R7A2020_29770,0.037,0.053,0.014,0.022,0.022,0.121,0.045,0.02,NE
R7A2020_29775,0.033,0.072,0.052,0.026,0.033,0.111,0.052,0.013,NE
R7A2020_29780,0.036,0.066,0.028,0.022,0.03,0.118,0.058,0.041,NE
R7A2020_29785,0.062,0.101,0.054,0.042,0.042,0.138,0.049,0.03,NE
R7A2020_29790,0.059,0.059,0.037,0.016,0.032,0.16,0.043,0.037,NE
R7A2020_29795,0.029,0.048,0.017,0.021,0.02,0.101,0.042,0.026,NE
R7A2020_29800,0.007,0.017,0.01,0.003,0.007,0.038,0.021,0.011,NE
R7A2020_29805,0.012,0.015,0.004,0.006,0.006,0.047,0.019,0.012,NE
R7A2020_29810,0.012,0.028,0.009,0.011,0.01,0.062,0.022,0.022,NE
R7A2020_29815,0.02,0.027,0.005,0.008,0.017,0.087,0.052,0.015,NE
R7A2020_29820,0.014,0.049,0.021,0.028,0.014,0.063,0.021,0.007,NE
R7A2020_29825,0.025,0.038,0.019,0.012,0.017,0.083,0.039,0.027,NE
R7A2020_29830,0.036,0.049,0.036,0.013,0.018,0.071,0.031,0.004,NE
R7A2020_29835,0.008,0.014,0.005,0.004,0.007,0.052,0.026,0.018,NE
R7A2020_29840,0.021,0.028,0.014,0.009,0.007,0.091,0.049,0.03,NE
R7A2020_29845,0.009,0.019,0.008,0.003,0.008,0.066,0.04,0.014,NE
R7A2020_29850,0.01,0.023,0.003,0.011,0.01,0.069,0.034,0.024,NE
R7A2020_29855,0.002,0.003,0.002,0,0.002,0.014,0.005,0.005,ICE-ES
R7A2020_29860,0.022,0.045,0.024,0.019,0.014,0.093,0.031,0.029,NE
R7A2020_29865,0.023,0.064,0.041,0.012,0.029,0.076,0.058,0,ICE-GR-ES
R7A2020_29870,0.011,0.034,0.006,0.009,0.023,0.063,0.014,0.026,NE
R7A2020_29875,0.008,0.024,0.008,0.008,0.008,0.043,0.024,0.008,NE
R7A2020_29880,0.082,0.118,0.018,0.059,0.059,0.176,0.053,0.029,NE
R7A2020_29885,0.041,0.075,0.037,0.024,0.034,0.121,0.044,0.039,NE
R7A2020_29890,0.05,0.102,0.054,0.044,0.036,0.135,0.037,0.041,NE
R7A2020_29895,0.036,0.065,0.031,0.022,0.03,0.105,0.036,0.035,NE
R7A2020_29900,0.053,0.082,0.032,0.029,0.033,0.135,0.053,0.032,NE
R7A2020_29905,0.046,0.087,0.037,0.044,0.035,0.119,0.049,0.025,NE
R7A2020_29910,0.031,0.063,0.038,0.019,0.031,0.075,0.031,0.031,NE
R7A2020_29915,0.023,0.02,0.006,0.007,0.008,0.088,0.045,0.019,NE
R7A2020_29920,0.037,0.065,0.028,0.019,0.037,0.139,0.037,0.028,NE
R7A2020_29925,0.04,0.057,0.036,0.028,0.024,0.123,0.041,0.033,NE
R7A2020_29930,0.044,0.075,0.033,0.034,0.016,0.121,0.053,0.034,NE
R7A2020_29935,0.028,0.043,0.028,0.015,0.013,0.112,0.048,0.018,NE
