locus	ES	TB	TY	GR
R7A2020_30780	0.091	0.028	0.046	0.021
R7A2020_30785	0.098	0.030	0.038	0.030
R7A2020_30790	0.050	0.006	0.022	0.011
R7A2020_30795	0.122	0.052	0.052	0.027
R7A2020_30800	0.102	0.039	0.036	0.023
R7A2020_30805	0.094	0.034	0.027	0.020
R7A2020_30810	0.115	0.040	0.049	0.028
R7A2020_30815	0.075	0.013	0.030	0.025
R7A2020_30820	0.082	0.033	0.041	0.023
R7A2020_30825	0.112	0.040	0.052	0.034
R7A2020_30830	0.095	0.039	0.052	0.036
R7A2020_30835	0.100	0.033	0.045	0.025
R7A2020_30840	0.143	0.060	0.050	0.042
R7A2020_30845	0.122	0.058	0.053	0.018
R7A2020_30850	0.124	0.053	0.047	0.024
R7A2020_30855	0.178	0.071	0.058	0.056
R7A2020_30860	0.109	0.045	0.045	0.029
R7A2020_30865	0.137	0.055	0.061	0.034
R7A2020_30870	0.074	0.016	0.040	0.015
R7A2020_30875	0.037	0.012	0.013	0.007
R7A2020_30880	0.130	0.043	0.046	0.033
R7A2020_30885	0.088	0.029	0.029	0.026
R7A2020_30890	0.211	0.100	0.084	0.051
R7A2020_30895	0.202	0.090	0.083	0.050
R7A2020_30900	0.146	0.042	0.061	0.052
R7A2020_30905	0.037	0.007	0.018	0.004
R7A2020_30910	0.030	0.003	0.017	0.009
R7A2020_30915	0.036	0.006	0.022	0.009
R7A2020_30920	0.004	0.000	0.004	0.000
R7A2020_30925	0.005	0.005	0.000	0.000
R7A2020_30930	0.066	0.007	0.044	0.015
R7A2020_30935	0.060	0.008	0.034	0.021
R7A2020_30940	0.069	0.007	0.039	0.022
R7A2020_30945	0.054	0.011	0.032	0.014
R7A2020_30950	0.049	0.009	0.024	0.020
R7A2020_30955	0.070	0.013	0.032	0.026
R7A2020_30960	0.050	0.006	0.032	0.015
R7A2020_30965	0.088	0.022	0.031	0.025
R7A2020_30970	0.090	0.029	0.040	0.020
R7A2020_30975	0.155	0.057	0.057	0.049
