locus_tag	ins_index.NSTY	ins_index.WTTY
R7A2020_07955	0.001	0.000
R7A2020_07960	0.006	0.009
R7A2020_07965	0.000	0.000
R7A2020_07970	0.005	0.009
R7A2020_07975	0.022	0.026
R7A2020_07980	0.061	0.051
R7A2020_07985	0.023	0.039
R7A2020_07990	0.055	0.045
R7A2020_07995	0.041	0.043
R7A2020_08000	0.054	0.043
R7A2020_08005	0.001	0.001
R7A2020_08010	0.031	0.017
R7A2020_08015	0.005	0.009
R7A2020_08020	0.000	0.030
R7A2020_08025	0.000	0.015
R7A2020_08030	0.004	0.002
R7A2020_08035	0.000	0.000
R7A2020_08040	0.030	0.000
R7A2020_08040	0.030	0.000
R7A2020_08045	0.031	0.039
R7A2020_08050	0.054	0.045
R7A2020_08055	0.005	0.009
R7A2020_08060	0.015	0.030
R7A2020_08065	0.000	0.000
R7A2020_08070	0.003	0.001
R7A2020_08075	0.000	0.000
R7A2020_08080	0.015	0.000
R7A2020_08080	0.015	0.000
R7A2020_08085	0.044	0.045
R7A2020_08090	0.051	0.042
R7A2020_08095	0.060	0.061
R7A2020_08100	0.053	0.041
R7A2020_08105	0.045	0.059
R7A2020_08110	0.036	0.044
R7A2020_08115	0.049	0.057
R7A2020_08120	0.041	0.037
R7A2020_08125	0.052	0.058
R7A2020_08130	0.037	0.043
R7A2020_08135	0.051	0.039
R7A2020_08140	0.039	0.046
R7A2020_08145	0.034	0.043
R7A2020_08150	0.053	0.054
R7A2020_08155	0.054	0.040
R7A2020_08160	0.055	0.048
R7A2020_08165	0.069	0.054
R7A2020_08170	0.056	0.060
R7A2020_08175	0.038	0.022
R7A2020_08180	0.020	0.042
R7A2020_08185	0.042	0.051
R7A2020_08190	0.064	0.063
R7A2020_08195	0.091	0.070
R7A2020_08200	0.061	0.053
R7A2020_08205	0.034	0.052
R7A2020_08210	0.039	0.033
R7A2020_08215	0.040	0.043
R7A2020_08220	0.058	0.051
R7A2020_08225	0.067	0.045
R7A2020_08230	0.040	0.060
R7A2020_08235	0.054	0.079
R7A2020_08240	0.039	0.057
R7A2020_08245	0.048	0.052
R7A2020_08250	0.044	0.047
R7A2020_08255	0.071	0.051
R7A2020_08260	0.047	0.050
R7A2020_08265	0.051	0.087
R7A2020_08270	0.043	0.049
R7A2020_08275	0.042	0.042
R7A2020_08280	0.064	0.068
R7A2020_08285	0.052	0.057
R7A2020_08290	0.057	0.058
R7A2020_08295	0.045	0.050
R7A2020_08300	0.039	0.044
R7A2020_08305	0.041	0.051
R7A2020_08310	0.031	0.042
R7A2020_08315	0.047	0.050
R7A2020_08320	0.060	0.052
R7A2020_08325	0.053	0.043
R7A2020_08330	0.061	0.066
R7A2020_08335	0.038	0.043
R7A2020_08340	0.051	0.056
R7A2020_08345	0.064	0.078
R7A2020_08350	0.045	0.045
R7A2020_08355	0.052	0.062
R7A2020_08360	0.052	0.063
R7A2020_08365	0.046	0.061
R7A2020_08370	0.058	0.055
R7A2020_08375	0.053	0.045
R7A2020_08380	0.047	0.063
R7A2020_08385	0.054	0.061
R7A2020_08390	0.058	0.070
R7A2020_08395	0.055	0.063
R7A2020_08400	0.042	0.058
R7A2020_08405	0.029	0.038
R7A2020_08410	0.036	0.043
R7A2020_08415	0.031	0.037
R7A2020_08420	0.014	0.036
R7A2020_08425	0.052	0.056
R7A2020_08430	0.037	0.058
R7A2020_08435	0.049	0.058
R7A2020_08440	0.053	0.058
R7A2020_08445	0.045	0.054
R7A2020_08450	0.048	0.058
R7A2020_08455	0.059	0.052
R7A2020_08460	0.055	0.053
R7A2020_08465	0.047	0.041
R7A2020_08470	0.058	0.063
R7A2020_08475	0.059	0.066
R7A2020_08480	0.048	0.061
R7A2020_08485	0.039	0.049
R7A2020_08490	0.048	0.054
R7A2020_08495	0.059	0.055
R7A2020_08500	0.035	0.055
R7A2020_08505	0.034	0.043
R7A2020_08510	0.048	0.051
R7A2020_08515	0.032	0.020
R7A2020_08520	0.017	0.027
R7A2020_08525	0.055	0.057
R7A2020_08530	0.000	0.000
R7A2020_08535	0.040	0.063
R7A2020_08540	0.028	0.018
R7A2020_08545	0.000	0.016
R7A2020_08550	0.048	0.044
R7A2020_08555	0.052	0.056
R7A2020_08560	0.027	0.034
R7A2020_08565	0.037	0.043
R7A2020_08570	0.046	0.047
R7A2020_08575	0.055	0.056
R7A2020_08580	0.071	0.060
R7A2020_08585	0.045	0.050
R7A2020_08590	0.050	0.050
R7A2020_08595	0.059	0.061
R7A2020_08600	0.064	0.068
R7A2020_08605	0.042	0.047
R7A2020_08610	0.036	0.056
R7A2020_08615	0.048	0.047
R7A2020_08620	0.046	0.033
R7A2020_08625	0.039	0.042
R7A2020_08630	0.033	0.029
R7A2020_08635	0.046	0.046
R7A2020_08640	0.036	0.046
R7A2020_08645	0.047	0.050
R7A2020_08650	0.041	0.047
R7A2020_08655	0.038	0.040
R7A2020_08660	0.068	0.064
R7A2020_08665	0.052	0.068
R7A2020_08670	0.045	0.059
R7A2020_08675	0.033	0.043
R7A2020_08680	0.026	0.028
R7A2020_08685	0.052	0.058
R7A2020_08690	0.047	0.052
R7A2020_08695	0.038	0.040
R7A2020_08700	0.038	0.054
R7A2020_08705	0.052	0.053
R7A2020_08710	0.029	0.020
R7A2020_08715	0.018	0.012
R7A2020_08720	0.039	0.041
R7A2020_08725	0.012	0.019
R7A2020_08730	0.040	0.032
R7A2020_08735	0.053	0.075
R7A2020_08740	0.062	0.006
R7A2020_08740	0.062	0.006
R7A2020_08745	0.046	0.042
R7A2020_08750	0.053	0.027
R7A2020_08755	0.051	0.059
R7A2020_08760	0.051	0.045
R7A2020_08765	0.065	0.051
R7A2020_08770	0.050	0.060
R7A2020_08775	0.011	0.027
R7A2020_08775	0.011	0.027
R7A2020_08775	0.011	0.027
R7A2020_08780	0.051	0.055
R7A2020_08785	0.068	0.056
R7A2020_08790	0.053	0.066
R7A2020_08795	0.054	0.052
R7A2020_08800	0.029	0.051
R7A2020_08805	0.050	0.049
R7A2020_08810	0.083	0.072
R7A2020_08815	0.052	0.061
R7A2020_08820	0.041	0.012
R7A2020_08825	0.000	0.004
R7A2020_08830	0.043	0.052
R7A2020_08835	0.024	0.030
R7A2020_08840	0.044	0.056
R7A2020_08845	0.079	0.064
R7A2020_08850	0.080	0.067
R7A2020_08855	0.002	0.002
R7A2020_08860	0.034	0.060
R7A2020_08865	0.039	0.040
R7A2020_08870	0.055	0.058
R7A2020_08875	0.101	0.077
R7A2020_08880	0.037	0.045
R7A2020_08885	0.064	0.062
R7A2020_08890	0.057	0.041
R7A2020_08895	0.000	0.000
R7A2020_08900	0.067	0.054
R7A2020_08905	0.000	0.000
R7A2020_08910	0.000	0.000
R7A2020_08915	0.007	0.001
R7A2020_08920	0.042	0.039
R7A2020_08925	0.026	0.018
R7A2020_08930	0.008	0.015
R7A2020_08935	0.018	0.027
R7A2020_08940	0.033	0.017
R7A2020_08945	0.047	0.055
R7A2020_08950	0.057	0.036
R7A2020_08955	0.059	0.063
R7A2020_08960	0.052	0.059
R7A2020_08965	0.054	0.058
R7A2020_08970	0.047	0.051
R7A2020_08975	0.036	0.054
R7A2020_08980	0.057	0.057
R7A2020_08985	0.044	0.045
R7A2020_08990	0.055	0.052
R7A2020_08995	0.045	0.045
R7A2020_09000	0.065	0.068
R7A2020_09005	0.072	0.057
R7A2020_09010	0.020	0.031
R7A2020_09015	0.044	0.039
R7A2020_09020	0.057	0.066
R7A2020_09025	0.029	0.039
R7A2020_09030	0.038	0.038
R7A2020_09035	0.040	0.061
R7A2020_09040	0.000	0.000
R7A2020_09045	0.001	0.000
R7A2020_09050	0.000	0.000
R7A2020_09055	0.052	0.063
R7A2020_09060	0.034	0.035
R7A2020_09065	0.054	0.077
R7A2020_09070	0.064	0.052
R7A2020_09075	0.051	0.049
R7A2020_09080	0.060	0.048
R7A2020_09085	0.040	0.052
R7A2020_09090	0.065	0.061
R7A2020_09095	0.051	0.049
R7A2020_09100	0.011	0.061
R7A2020_09105	0.038	0.076
R7A2020_09110	0.071	0.079
R7A2020_09115	0.058	0.042
R7A2020_09120	0.033	0.054
R7A2020_09125	0.061	0.058
R7A2020_09130	0.013	0.013
R7A2020_09135	0.041	0.026
R7A2020_09140	0.090	0.074
R7A2020_09145	0.056	0.036
R7A2020_09150	0.022	0.024
R7A2020_09155	0.076	0.084
R7A2020_09160	0.080	0.069
R7A2020_09165	0.044	0.040
R7A2020_09170	0.020	0.029
R7A2020_09175	0.023	0.018
R7A2020_09180	0.046	0.049
R7A2020_09185	0.065	0.056
R7A2020_09190	0.039	0.013
R7A2020_09190	0.039	0.013
R7A2020_09195	0.044	0.041
R7A2020_09200	0.019	0.035
R7A2020_09205	0.035	0.035
R7A2020_09210	0.015	0.034
R7A2020_09215	0.054	0.072
R7A2020_09220	0.035	0.059
R7A2020_09225	0.000	0.026
R7A2020_09230	0.068	0.057
R7A2020_09235	0.030	0.045
R7A2020_09240	0.067	0.072
R7A2020_09245	0.067	0.069
R7A2020_09250	0.058	0.063
R7A2020_09255	0.055	0.055
R7A2020_09260	0.051	0.057
R7A2020_09265	0.041	0.046
R7A2020_09270	0.049	0.076
R7A2020_09275	0.047	0.050
R7A2020_09280	0.013	0.004
R7A2020_09285	0.027	0.061
R7A2020_09290	0.085	0.070
R7A2020_09295	0.076	0.076
R7A2020_09300	0.051	0.060
R7A2020_09305	0.056	0.056
R7A2020_09310	0.035	0.047
R7A2020_09315	0.033	0.044
R7A2020_09320	0.042	0.046
R7A2020_09325	0.014	0.063
R7A2020_09330	0.067	0.061
R7A2020_09335	0.036	0.058
R7A2020_09340	0.042	0.047
R7A2020_09345	0.031	0.038
R7A2020_09350	0.066	0.063
R7A2020_09355	0.047	0.041
R7A2020_09360	0.000	0.000
R7A2020_09365	0.055	0.078
R7A2020_09370	0.075	0.076
R7A2020_09375	0.061	0.064
R7A2020_09380	0.066	0.075
R7A2020_09385	0.045	0.041
R7A2020_09390	0.053	0.042
R7A2020_09395	0.031	0.020
R7A2020_09400	0.085	0.075
R7A2020_09405	0.062	0.078
R7A2020_09410	0.054	0.050
R7A2020_09415	0.045	0.064
R7A2020_09420	0.033	0.044
R7A2020_09425	0.052	0.066
R7A2020_09430	0.039	0.038
R7A2020_09435	0.032	0.028
R7A2020_09440	0.054	0.053
R7A2020_09445	0.037	0.048
R7A2020_09450	0.056	0.053
R7A2020_09455	0.043	0.053
R7A2020_09460	0.053	0.056
R7A2020_09465	0.039	0.052
R7A2020_09470	0.048	0.058
R7A2020_09475	0.069	0.067
R7A2020_09480	0.037	0.045
R7A2020_09485	0.048	0.040
R7A2020_09490	0.056	0.043
R7A2020_09495	0.056	0.065
R7A2020_09500	0.040	0.048
R7A2020_09505	0.049	0.060
R7A2020_09510	0.067	0.050
R7A2020_09515	0.041	0.066
R7A2020_09520	0.055	0.054
R7A2020_09525	0.054	0.050
R7A2020_09530	0.051	0.041
R7A2020_09535	0.049	0.062
R7A2020_09540	0.066	0.054
R7A2020_09545	0.031	0.037
R7A2020_09550	0.068	0.051
R7A2020_09555	0.035	0.054
R7A2020_09560	0.031	0.015
R7A2020_09565	0.010	0.000
R7A2020_09570	0.057	0.057
R7A2020_09575	0.047	0.044
R7A2020_09580	0.037	0.045
R7A2020_09585	0.062	0.090
R7A2020_09590	0.067	0.097
R7A2020_09595	0.058	0.068
R7A2020_09600	0.050	0.023
R7A2020_09605	0.033	0.051
R7A2020_09610	0.030	0.030
R7A2020_09610	0.030	0.030
R7A2020_09615	0.015	0.036
R7A2020_09620	0.041	0.044
R7A2020_09625	0.046	0.046
R7A2020_09630	0.052	0.052
R7A2020_09635	0.070	0.077
R7A2020_09640	0.000	0.000
R7A2020_09645	0.061	0.035
R7A2020_09650	0.051	0.035
R7A2020_09655	0.056	0.051
R7A2020_09660	0.001	0.000
R7A2020_09665	0.053	0.047
R7A2020_09670	0.031	0.040
R7A2020_09675	0.011	0.012
R7A2020_09680	0.074	0.057
R7A2020_09685	0.055	0.063
R7A2020_09690	0.059	0.055
R7A2020_09695	0.041	0.053
R7A2020_09700	0.087	0.082
R7A2020_09705	0.077	0.068
R7A2020_09710	0.032	0.035
R7A2020_09715	0.070	0.070
R7A2020_09720	0.075	0.066
R7A2020_09725	0.036	0.028
R7A2020_09730	0.057	0.053
R7A2020_09735	0.072	0.078
R7A2020_09740	0.020	0.031
R7A2020_09745	0.056	0.063
R7A2020_09750	0.063	0.068
R7A2020_09755	0.039	0.020
R7A2020_09760	0.067	0.079
R7A2020_09765	0.041	0.053
R7A2020_09770	0.059	0.070
R7A2020_09775	0.053	0.039
R7A2020_09780	0.065	0.061
R7A2020_09785	0.034	0.028
R7A2020_09790	0.046	0.040
R7A2020_09795	0.061	0.072
R7A2020_09800	0.039	0.040
R7A2020_09805	0.044	0.055
R7A2020_09810	0.067	0.058
R7A2020_09815	0.032	0.027
R7A2020_09820	0.041	0.039
R7A2020_09825	0.049	0.041
R7A2020_09830	0.048	0.081
R7A2020_09835	0.030	0.044
R7A2020_09840	0.041	0.049
R7A2020_09845	0.043	0.051
R7A2020_09850	0.062	0.060
R7A2020_09855	0.048	0.045
R7A2020_09860	0.046	0.058
R7A2020_09865	0.051	0.034
R7A2020_09870	0.042	0.042
R7A2020_09875	0.071	0.075
R7A2020_09880	0.018	0.007
R7A2020_09885	0.026	0.008
R7A2020_09885	0.026	0.008
R7A2020_09885	0.026	0.008
R7A2020_09890	0.049	0.058
R7A2020_09895	0.068	0.057
R7A2020_09900	0.039	0.040
R7A2020_09905	0.054	0.058
R7A2020_09910	0.053	0.050
R7A2020_09915	0.076	0.071
R7A2020_09920	0.063	0.070
R7A2020_09925	0.067	0.054
R7A2020_09930	0.047	0.062
R7A2020_09935	0.066	0.061
R7A2020_09940	0.055	0.057
R7A2020_09945	0.050	0.048
R7A2020_09950	0.030	0.030
R7A2020_09955	0.052	0.069
R7A2020_09960	0.052	0.047
R7A2020_09965	0.065	0.070
R7A2020_09970	0.040	0.025
R7A2020_09975	0.034	0.050
R7A2020_09980	0.046	0.039
R7A2020_09985	0.057	0.070
R7A2020_09990	0.051	0.051
R7A2020_09995	0.051	0.051
R7A2020_10000	0.053	0.049
R7A2020_10005	0.063	0.065
R7A2020_10010	0.052	0.085
R7A2020_10015	0.042	0.039
R7A2020_10020	0.052	0.047
R7A2020_10025	0.051	0.046
R7A2020_10030	0.050	0.052
R7A2020_10035	0.046	0.055
R7A2020_10040	0.063	0.056
R7A2020_10045	0.065	0.063
R7A2020_10050	0.080	0.091
R7A2020_10055	0.045	0.045
R7A2020_10060	0.049	0.059
R7A2020_10065	0.072	0.069
R7A2020_10070	0.057	0.072
R7A2020_10075	0.061	0.058
R7A2020_10080	0.048	0.068
R7A2020_10085	0.062	0.050
R7A2020_10090	0.073	0.076
R7A2020_10095	0.061	0.073
R7A2020_10100	0.056	0.047
R7A2020_10105	0.053	0.076
R7A2020_10110	0.062	0.049
R7A2020_10115	0.037	0.041
R7A2020_10120	0.055	0.061
R7A2020_10125	0.062	0.060
R7A2020_10130	0.059	0.065
R7A2020_10135	0.050	0.038
R7A2020_10140	0.070	0.069
R7A2020_10145	0.064	0.062
R7A2020_10150	0.060	0.060
R7A2020_10155	0.040	0.072
R7A2020_10160	0.054	0.051
R7A2020_10165	0.044	0.049
R7A2020_10170	0.040	0.034
R7A2020_10175	0.051	0.046
R7A2020_10180	0.000	0.000
R7A2020_10185	0.020	0.023
R7A2020_10185	0.020	0.023
R7A2020_10190	0.058	0.049
R7A2020_10195	0.016	0.025
R7A2020_10200	0.062	0.057
R7A2020_10205	0.067	0.065
R7A2020_10210	0.044	0.061
R7A2020_10215	0.030	0.050
R7A2020_10220	0.046	0.046
R7A2020_10225	0.047	0.041
R7A2020_10230	0.052	0.062
R7A2020_10235	0.047	0.050
R7A2020_10240	0.033	0.038
R7A2020_10245	0.029	0.045
R7A2020_10250	0.052	0.057
R7A2020_10255	0.057	0.057
R7A2020_10260	0.064	0.073
R7A2020_10265	0.046	0.062
R7A2020_10270	0.052	0.059
R7A2020_10275	0.047	0.050
R7A2020_10280	0.057	0.062
R7A2020_10285	0.045	0.072
R7A2020_10290	0.064	0.071
R7A2020_10295	0.044	0.052
R7A2020_10300	0.065	0.073
R7A2020_10305	0.042	0.036
R7A2020_10310	0.076	0.067
R7A2020_10315	0.023	0.032
R7A2020_10320	0.064	0.059
R7A2020_10325	0.052	0.040
R7A2020_10330	0.065	0.072
R7A2020_10335	0.051	0.038
R7A2020_10340	0.088	0.079
R7A2020_10345	0.070	0.070
R7A2020_10350	0.053	0.062
R7A2020_10355	0.044	0.061
R7A2020_10360	0.037	0.056
R7A2020_10365	0.060	0.035
R7A2020_10370	0.039	0.065
R7A2020_10375	0.064	0.057
R7A2020_10380	0.056	0.064
R7A2020_10385	0.021	0.035
R7A2020_10390	0.043	0.043
R7A2020_10395	0.051	0.057
R7A2020_10400	0.069	0.083
R7A2020_10405	0.051	0.071
R7A2020_10410	0.038	0.051
R7A2020_10415	0.066	0.077
R7A2020_10420	0.000	0.000
R7A2020_10425	0.000	0.000
R7A2020_10430	0.001	0.001
R7A2020_10435	0.000	0.000
R7A2020_10440	0.067	0.057
R7A2020_10445	0.056	0.073
R7A2020_10450	0.006	0.009
R7A2020_10455	0.000	0.000
R7A2020_10460	0.041	0.032
R7A2020_10465	0.002	0.000
R7A2020_10470	0.035	0.035
R7A2020_10475	0.066	0.055
R7A2020_10480	0.047	0.049
R7A2020_10485	0.003	0.027
R7A2020_10490	0.045	0.048
R7A2020_10495	0.051	0.054
R7A2020_10500	0.047	0.065
R7A2020_10505	0.060	0.051
R7A2020_10510	0.029	0.032
R7A2020_10515	0.031	0.038
R7A2020_10520	0.009	0.015
R7A2020_10525	0.053	0.067
R7A2020_10530	0.057	0.067
R7A2020_10535	0.046	0.050
R7A2020_10540	0.062	0.062
R7A2020_10545	0.067	0.073
R7A2020_10550	0.036	0.068
R7A2020_10555	0.071	0.059
R7A2020_10560	0.069	0.084
R7A2020_10565	0.055	0.041
R7A2020_10570	0.055	0.051
R7A2020_10575	0.064	0.057
R7A2020_10580	0.066	0.059
R7A2020_10585	0.061	0.067
R7A2020_10590	0.049	0.049
R7A2020_10595	0.042	0.045
R7A2020_10600	0.049	0.055
R7A2020_10605	0.052	0.037
R7A2020_10610	0.066	0.066
R7A2020_10615	0.056	0.046
R7A2020_10620	0.042	0.053
R7A2020_10625	0.061	0.041
R7A2020_10630	0.036	0.053
R7A2020_10635	0.055	0.051
R7A2020_10640	0.058	0.060
R7A2020_10645	0.048	0.051
R7A2020_10650	0.048	0.055
R7A2020_10655	0.048	0.051
R7A2020_10660	0.049	0.049
R7A2020_10665	0.057	0.041
R7A2020_10670	0.051	0.060
R7A2020_10675	0.066	0.102
R7A2020_10680	0.066	0.062
R7A2020_10685	0.073	0.076
R7A2020_10690	0.056	0.044
R7A2020_10695	0.058	0.050
R7A2020_10700	0.066	0.077
R7A2020_10705	0.070	0.053
R7A2020_10710	0.047	0.058
R7A2020_10715	0.082	0.070
R7A2020_10720	0.051	0.035
R7A2020_10725	0.022	0.039
R7A2020_10730	0.041	0.037
R7A2020_10735	0.088	0.084
R7A2020_10740	0.061	0.049
R7A2020_10745	0.055	0.053
R7A2020_10750	0.082	0.047
R7A2020_10755	0.057	0.057
R7A2020_10760	0.052	0.065
R7A2020_10765	0.048	0.058
R7A2020_10770	0.035	0.033
R7A2020_10775	0.052	0.057
R7A2020_10780	0.073	0.043
R7A2020_10785	0.031	0.031
R7A2020_10790	0.000	0.000
R7A2020_10795	0.045	0.068
R7A2020_10800	0.060	0.031
R7A2020_10805	0.061	0.079
R7A2020_10810	0.047	0.055
R7A2020_10815	0.065	0.065
R7A2020_10820	0.059	0.057
R7A2020_10825	0.055	0.078
R7A2020_10830	0.049	0.019
R7A2020_10835	0.049	0.060
R7A2020_10840	0.048	0.071
R7A2020_10845	0.023	0.023
R7A2020_10850	0.027	0.035
R7A2020_10855	0.034	0.037
R7A2020_10860	0.037	0.034
R7A2020_10865	0.046	0.038
R7A2020_10870	0.049	0.051
R7A2020_10875	0.037	0.043
R7A2020_10880	0.040	0.042
R7A2020_10885	0.045	0.052
R7A2020_10890	0.046	0.039
R7A2020_10895	0.058	0.047
R7A2020_10900	0.020	0.018
R7A2020_10905	0.011	0.008
R7A2020_10910	0.005	0.000
R7A2020_10915	0.034	0.039
R7A2020_10920	0.038	0.060
R7A2020_10925	0.067	0.053
R7A2020_10930	0.068	0.052
R7A2020_10935	0.048	0.043
R7A2020_10940	0.060	0.066
R7A2020_10945	0.000	0.000
R7A2020_10950	0.063	0.063
R7A2020_10955	0.088	0.076
R7A2020_10960	0.053	0.059
R7A2020_10965	0.002	0.001
R7A2020_10970	0.000	0.000
R7A2020_10975	0.054	0.039
R7A2020_10980	0.000	0.004
R7A2020_10985	0.019	0.028
R7A2020_10990	0.033	0.029
R7A2020_10995	0.045	0.032
R7A2020_11000	0.071	0.055
R7A2020_11005	0.046	0.054
R7A2020_11010	0.000	0.000
R7A2020_11015	0.053	0.057
R7A2020_11020	0.059	0.058
R7A2020_11025	0.041	0.034
R7A2020_11030	0.077	0.075
R7A2020_11035	0.049	0.060
R7A2020_11040	0.044	0.055
R7A2020_11045	0.038	0.033
R7A2020_11050	0.023	0.013
R7A2020_11050	0.023	0.013
R7A2020_11055	0.044	0.056
R7A2020_11060	0.089	0.047
R7A2020_11065	0.067	0.109
R7A2020_11070	0.092	0.096
R7A2020_11075	0.035	0.052
R7A2020_11080	0.011	0.011
R7A2020_11085	0.024	0.013
R7A2020_11085	0.024	0.013
R7A2020_11090	0.059	0.050
R7A2020_11095	0.052	0.049
R7A2020_11100	0.057	0.044
R7A2020_11105	0.081	0.050
R7A2020_11110	0.052	0.069
R7A2020_11115	0.047	0.034
R7A2020_11120	0.033	0.021
R7A2020_11125	0.051	0.056
R7A2020_11130	0.047	0.047
R7A2020_11135	0.042	0.063
R7A2020_11140	0.036	0.032
R7A2020_11145	0.070	0.071
R7A2020_11150	0.061	0.057
R7A2020_11155	0.066	0.070
R7A2020_11160	0.044	0.043
R7A2020_11165	0.036	0.024
R7A2020_11170	0.055	0.052
R7A2020_11175	0.052	0.041
R7A2020_11180	0.041	0.048
R7A2020_11185	0.047	0.059
R7A2020_11190	0.092	0.048
R7A2020_11195	0.051	0.043
R7A2020_11200	0.058	0.060
R7A2020_11205	0.052	0.036
R7A2020_11210	0.057	0.071
R7A2020_11215	0.059	0.063
R7A2020_11220	0.062	0.035
R7A2020_11225	0.051	0.061
R7A2020_11230	0.040	0.049
R7A2020_11235	0.056	0.058
R7A2020_11240	0.058	0.058
R7A2020_11245	0.049	0.064
R7A2020_11250	0.056	0.056
R7A2020_11255	0.035	0.043
R7A2020_11260	0.025	0.048
R7A2020_11265	0.033	0.066
R7A2020_11270	0.037	0.045
R7A2020_11275	0.054	0.049
R7A2020_11280	0.069	0.060
R7A2020_11285	0.058	0.050
R7A2020_11290	0.043	0.047
R7A2020_11295	0.047	0.054
R7A2020_11300	0.055	0.060
R7A2020_11305	0.048	0.074
R7A2020_11310	0.052	0.064
R7A2020_11315	0.067	0.055
R7A2020_11320	0.047	0.063
R7A2020_11325	0.047	0.050
R7A2020_11330	0.053	0.052
R7A2020_11335	0.061	0.058
R7A2020_11340	0.052	0.063
R7A2020_11345	0.047	0.053
R7A2020_11350	0.055	0.041
R7A2020_11355	0.049	0.080
R7A2020_11360	0.050	0.042
R7A2020_11365	0.058	0.050
R7A2020_11370	0.061	0.039
R7A2020_11375	0.015	0.017
R7A2020_11380	0.041	0.030
R7A2020_11385	0.057	0.050
R7A2020_11390	0.043	0.036
R7A2020_11395	0.048	0.087
R7A2020_11400	0.035	0.034
R7A2020_11405	0.047	0.029
R7A2020_11410	0.034	0.045
R7A2020_11415	0.044	0.061
R7A2020_11420	0.054	0.064
R7A2020_11425	0.000	0.000
R7A2020_11430	0.026	0.027
R7A2020_11435	0.038	0.068
R7A2020_11440	0.060	0.064
R7A2020_11445	0.051	0.060
R7A2020_11450	0.074	0.077
R7A2020_11455	0.043	0.037
R7A2020_11460	0.057	0.066
R7A2020_11465	0.048	0.064
R7A2020_11470	0.064	0.053
R7A2020_11475	0.037	0.041
R7A2020_11480	0.083	0.075
R7A2020_11485	0.054	0.063
R7A2020_11490	0.036	0.050
R7A2020_11495	0.065	0.056
R7A2020_11500	0.081	0.095
R7A2020_11505	0.011	0.016
R7A2020_11505	0.011	0.016
R7A2020_11510	0.075	0.068
R7A2020_11515	0.045	0.060
R7A2020_11520	0.059	0.064
R7A2020_11525	0.089	0.077
R7A2020_11530	0.069	0.059
R7A2020_11535	0.033	0.040
R7A2020_11540	0.063	0.078
R7A2020_11545	0.027	0.042
R7A2020_11550	0.051	0.063
R7A2020_11555	0.014	0.012
R7A2020_11560	0.016	0.020
R7A2020_11565	0.000	0.000
R7A2020_11570	0.054	0.055
R7A2020_11575	0.046	0.048
R7A2020_11580	0.090	0.087
R7A2020_11585	0.043	0.052
R7A2020_11590	0.056	0.055
R7A2020_11595	0.033	0.046
R7A2020_11600	0.066	0.064
R7A2020_11605	0.067	0.080
R7A2020_11610	0.084	0.069
R7A2020_11615	0.052	0.051
R7A2020_11620	0.053	0.073
R7A2020_11625	0.029	0.030
R7A2020_11625	0.029	0.030
R7A2020_11625	0.029	0.030
R7A2020_11630	0.023	0.018
R7A2020_11635	0.022	0.049
R7A2020_11640	0.056	0.019
R7A2020_11645	0.055	0.053
R7A2020_11650	0.051	0.068
R7A2020_11655	0.049	0.046
R7A2020_11660	0.041	0.045
R7A2020_11665	0.000	0.000
R7A2020_11670	0.060	0.042
R7A2020_11675	0.057	0.042
R7A2020_11680	0.052	0.047
R7A2020_11685	0.047	0.045
R7A2020_11690	0.059	0.078
R7A2020_11695	0.051	0.063
R7A2020_11700	0.061	0.058
R7A2020_11705	0.060	0.064
R7A2020_11710	0.065	0.052
R7A2020_11715	0.058	0.058
R7A2020_11720	0.063	0.091
R7A2020_11725	0.062	0.070
R7A2020_11730	0.035	0.051
R7A2020_11735	0.000	0.000
R7A2020_11740	0.000	0.001
R7A2020_11745	0.048	0.044
R7A2020_11750	0.052	0.035
R7A2020_11755	0.049	0.060
R7A2020_11760	0.060	0.069
R7A2020_11765	0.022	0.025
R7A2020_11770	0.054	0.041
R7A2020_11775	0.052	0.062
R7A2020_11780	0.018	0.028
R7A2020_11785	0.042	0.054
R7A2020_11790	0.034	0.052
R7A2020_11795	0.056	0.080
R7A2020_11800	0.056	0.061
R7A2020_11805	0.042	0.049
R7A2020_11810	0.052	0.077
R7A2020_11815	0.041	0.053
R7A2020_11820	0.048	0.063
R7A2020_11825	0.042	0.065
R7A2020_11830	0.038	0.046
R7A2020_11835	0.043	0.035
R7A2020_11840	0.071	0.093
R7A2020_11845	0.062	0.064
R7A2020_11850	0.037	0.048
R7A2020_11855	0.050	0.064
R7A2020_11860	0.056	0.048
R7A2020_11865	0.057	0.056
R7A2020_11870	0.067	0.054
R7A2020_11875	0.056	0.065
R7A2020_11880	0.057	0.053
R7A2020_11885	0.051	0.058
R7A2020_11890	0.064	0.074
R7A2020_11895	0.069	0.077
R7A2020_11900	0.031	0.063
R7A2020_11905	0.068	0.072
R7A2020_11910	0.000	0.005
R7A2020_11915	0.035	0.082
R7A2020_11920	0.049	0.058
R7A2020_11925	0.047	0.039
R7A2020_11930	0.041	0.052
R7A2020_11935	0.043	0.045
R7A2020_11940	0.048	0.057
R7A2020_11945	0.015	0.017
R7A2020_11950	0.041	0.041
R7A2020_11955	0.045	0.050
R7A2020_11960	0.040	0.056
R7A2020_11965	0.055	0.076
R7A2020_11970	0.053	0.072
R7A2020_11975	0.056	0.056
R7A2020_11980	0.000	0.000
R7A2020_11985	0.061	0.085
